Project_name,SiteID,BASIN,LOCATION,RIVMILE,sys_sample_code,chemical_name,sample_date,cas_rn,fraction,result_value,result_unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Percent Saturation,8/1/2018 11:50,PER_SAT,T,82,std unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,PH,8/1/2018 11:50,PH,T,7.05,pH units
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,Salinity,8/1/2018 11:50,SALI,T,1.96,ppm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08012018-WS,water temperature,8/1/2018 11:50,TEMP,T,23.2,deg c
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"ALKALINITY, TOTAL (AS CaCO3)",8/22/2018 8:45,ALK,T,45.6,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Aluminum,8/22/2018 8:45,7429-90-5,D,110,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Arsenic,8/22/2018 8:45,7440-38-2,T,1.1,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Calcium,8/22/2018 8:45,7440-70-2,T,64100,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"Carbon, Dissolved Organic (DOC)",8/22/2018 8:45,DOC,D,3.5,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,CHLORIDE (AS CL),8/22/2018 8:45,16887-00-6,T,1520,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Copper,8/22/2018 8:45,7440-50-8,D,22.8,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Copper,8/22/2018 8:45,7440-50-8,T,24.6,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"Fluoride, undistilled",8/22/2018 8:45,16984-48-8,T,0.15,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,HARDNESS (AS CACO3),8/22/2018 8:45,HARD,T,240,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Iron,8/22/2018 8:45,7439-89-6,T,129,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Magnesium,8/22/2018 8:45,7439-95-4,T,19400,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Manganese,8/22/2018 8:45,7439-96-5,T,108,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Nickel,8/22/2018 8:45,7440-02-0,D,6.7,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Nitrate+Nitrite as Nitrogen,8/22/2018 8:45,NO3NO2N,T,23.7,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Nitrogen,8/22/2018 8:45,KN,T,24.5,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"Nitrogen, ammonia (As N)",8/22/2018 8:45,7664-41-7,T,0.174,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"NITROGEN, NITRATE (AS N)",8/22/2018 8:45,14797-55-8,T,23.5,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"Orthophosphate as Phosphorus, Dissolved",8/22/2018 8:45,PDORTHO,D,0.0273,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"PHOSPHORUS, TOTAL (AS P)",8/22/2018 8:45,7723-14-0,T,0.112,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Sodium,8/22/2018 8:45,7440-23-5,T,944000,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,SULFATE (AS SO4),8/22/2018 8:45,14808-79-8,T,49.4,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",8/22/2018 8:45,TDS,T,2890,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Zinc,8/22/2018 8:45,7440-66-6,T,11.3,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Zinc,8/22/2018 8:45,7440-66-6,D,9.6,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Conductivity,8/22/2018 8:58,COND,T,4988,uS/cm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Dissolved Oxygen,8/22/2018 8:58,7782-44-7,D,7.6,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Percent Saturation,8/22/2018 8:58,PER_SAT,T,94,std unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,PH,8/22/2018 8:58,PH,T,7.2,pH units
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,Salinity,8/22/2018 8:58,SALI,T,2.68,ppm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-08222018-WS,water temperature,8/22/2018 8:58,TEMP,T,23.7,deg c
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Conductivity,9/6/2018 11:58,COND,T,6561,uS/cm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Dissolved Oxygen,9/6/2018 11:58,7782-44-7,D,8.04,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Percent Saturation,9/6/2018 11:58,PER_SAT,T,102,std unit
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,PH,9/6/2018 11:58,PH,T,6.89,pH units
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Salinity,9/6/2018 11:58,SALI,T,3.58,ppm
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,water temperature,9/6/2018 11:58,TEMP,T,25.5,deg c
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"ALKALINITY, TOTAL (AS CaCO3)",9/6/2018 12:00,ALK,T,7.2,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Aluminum,9/6/2018 12:00,7429-90-5,D,26.2,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Calcium,9/6/2018 12:00,7440-70-2,T,80900,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"Carbon, Dissolved Organic (DOC)",9/6/2018 12:00,DOC,D,3,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,CHLORIDE (AS CL),9/6/2018 12:00,16887-00-6,T,2110,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Copper,9/6/2018 12:00,7440-50-8,T,40,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Copper,9/6/2018 12:00,7440-50-8,D,39.9,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,"Fluoride, undistilled",9/6/2018 12:00,16984-48-8,T,0.1,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,HARDNESS (AS CACO3),9/6/2018 12:00,HARD,T,292,mg/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Iron,9/6/2018 12:00,7439-89-6,T,132,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Magnesium,9/6/2018 12:00,7439-95-4,T,21800,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Manganese,9/6/2018 12:00,7439-96-5,T,543,ug/l
Ramapo RAS 2018,15-KJSTP-001,15,KJSTP,001,15-KJSTP-001-09062018-WS,Nickel,9/6/2018 12:00,7440-02-0,D,10.2,ug/l
