Project_name,SiteID,BASIN,LOCATION,RIVMILE,SAMPLE_DATE,cas_rn,chemical_name,fraction,result_value,result_unit,Health..Water.Source.,Health.Fish.Consumption.,Aquatic.Chronic.,Aquatic..Acute.,Wildlife,Aesthetic.Water.Source.,Aesthetic.Food.Source.,Recreation,HWS,HFS,AC,AA,W,EWS,EFS,R
Ramapo RAS 2064,15-KJSTP-001,15,KJSTP,001,7/23/2018,PDORTHO,"Orthophosphate as Phosphorus, Dissolved",D,312,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2065,15-KJSTP-001,15,KJSTP,001,7/23/2018,PER_SAT,Percent Saturation,T,90,std unit,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2066,15-KJSTP-001,15,KJSTP,001,7/23/2018,PH,PH,T,6.57,pH units,NS,NS,8.5-6.5,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2067,15-KJSTP-001,15,KJSTP,001,7/23/2018,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,422,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2068,15-KJSTP-001,15,KJSTP,001,7/23/2018,SALI,Salinity,T,0.72,ppm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2069,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-23-5,Sodium,T,125000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2070,15-KJSTP-001,15,KJSTP,001,7/23/2018,14808-79-8,SULFATE (AS SO4),T,51300,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2071,15-KJSTP-001,15,KJSTP,001,7/23/2018,TDS,"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",T,628000,ug/l,NS,NS,500000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2072,15-KJSTP-001,15,KJSTP,001,7/23/2018,TEMP,water temperature,T,22.6,deg c,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2073,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-66-6,Zinc,D,61.7,ug/l,NS,NS,162.7598456,230.3138483,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2074,15-KJSTP-001,15,KJSTP,001,7/23/2018,7440-66-6,Zinc,T,61.3,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2075,15-KJSTP-001,15,KJSTP,001,8/1/2018,ALK,"ALKALINITY, TOTAL (AS CaCO3)",T,9200,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2076,15-KJSTP-001,15,KJSTP,001,8/1/2018,7429-90-5,Aluminum,D,16.3,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2077,15-KJSTP-001,15,KJSTP,001,8/1/2018,7440-70-2,Calcium,T,64300,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2078,15-KJSTP-001,15,KJSTP,001,8/1/2018,DOC,"Carbon, Dissolved Organic (DOC)",D,4500,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2079,15-KJSTP-001,15,KJSTP,001,8/1/2018,16887-00-6,CHLORIDE (AS CL),T,1290000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2080,15-KJSTP-001,15,KJSTP,001,8/1/2018,COND,Conductivity,T,3757,uS/cm,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2081,15-KJSTP-001,15,KJSTP,001,8/1/2018,7440-50-8,Copper,D,15.5,ug/l,NS,NS,18.92311074,30.66236476,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2082,15-KJSTP-001,15,KJSTP,001,8/1/2018,7440-50-8,Copper,T,15.4,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2083,15-KJSTP-001,15,KJSTP,001,8/1/2018,7782-44-7,Dissolved Oxygen,D,6880,ug/l,NS,NS,4000,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2084,15-KJSTP-001,15,KJSTP,001,8/1/2018,HARD,HARDNESS (AS CACO3),T,240000,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2085,15-KJSTP-001,15,KJSTP,001,8/1/2018,7439-95-4,Magnesium,T,19300,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2086,15-KJSTP-001,15,KJSTP,001,8/1/2018,7439-96-5,Manganese,T,208,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2087,15-KJSTP-001,15,KJSTP,001,8/1/2018,7440-02-0,Nickel,D,7.5,ug/l,NS,NS,109.0728514,982.0267286,NS,NS,NS,NS,NS,NS,NV,NV,NS,NS,NS,NS
Ramapo RAS 2088,15-KJSTP-001,15,KJSTP,001,8/1/2018,KN,Nitrogen,T,32100,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2089,15-KJSTP-001,15,KJSTP,001,8/1/2018,7664-41-7,"Nitrogen, ammonia (As N)",T,237,ug/l,NS,NS,8.97,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2090,15-KJSTP-001,15,KJSTP,001,8/1/2018,14797-55-8,"NITROGEN, NITRATE (AS N)",T,30700,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2091,15-KJSTP-001,15,KJSTP,001,8/1/2018,14797-65-0,"NITROGEN, NITRITE",T,63,ug/l,NS,NS,100,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2092,15-KJSTP-001,15,KJSTP,001,8/1/2018,PER_SAT,Percent Saturation,T,82,std unit,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
Ramapo RAS 2093,15-KJSTP-001,15,KJSTP,001,8/1/2018,PH,PH,T,7.05,pH units,NS,NS,8.5-6.5,NS,NS,NS,NS,NS,NS,NS,NV,NS,NS,NS,NS,NS
Ramapo RAS 2094,15-KJSTP-001,15,KJSTP,001,8/1/2018,7723-14-0,"PHOSPHORUS, TOTAL (AS P)",T,218,ug/l,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS
